adjv.f.pl.a	adjective, feminine, plural, absolute
adjv.f.pl.c	adjective, feminine, plural, construct
adjv.f.pl.e	adjective, feminine, plural, emphatic
adjv.f.sg.a	adjective, feminine, singular, absolute
adjv.f.sg.c	adjective, feminine, singular, construct
adjv.f.sg.e	adjective, feminine, singular, emphatic
adjv.haf.ptca.u.m.sg.a	adjective, haf‘el, participle, unknown, masculine, singular, absolute
adjv.hif.ptca.u.f.pl.a	adjective, hif‘il, participle, unknown, feminine, plural, absolute
adjv.hif.ptca.u.f.sg.a	adjective, hif‘il, participle, unknown, feminine, singular, absolute
adjv.hif.ptca.u.f.sg.c	adjective, hif‘il, participle, unknown, feminine, singular, construct
adjv.hif.ptca.u.m.pl.a	adjective, hif‘il, participle, unknown, masculine, plural, absolute
adjv.hif.ptca.u.m.pl.c	adjective, hif‘il, participle, unknown, masculine, plural, construct
adjv.hif.ptca.u.m.sg.a	adjective, hif‘il, participle, unknown, masculine, singular, absolute
adjv.hif.ptca.u.m.sg.c	adjective, hif‘il, participle, unknown, masculine, singular, construct
adjv.hit.ptca.u.m.pl.a	adjective, hitpa“el, participle, unknown, masculine, plural, absolute
adjv.hit.ptca.u.m.sg.a	adjective, hitpa“el, participle, unknown, masculine, singular, absolute
adjv.hof.ptcp.u.f.pl.a	adjective, hof‘al, participle (passive), unknown, feminine, plural, absolute
adjv.hof.ptcp.u.f.pl.c	adjective, hof‘al, participle (passive), unknown, feminine, plural, construct
adjv.hof.ptcp.u.f.sg.a	adjective, hof‘al, participle (passive), unknown, feminine, singular, absolute
adjv.hof.ptcp.u.m.sg.a	adjective, hof‘al, participle (passive), unknown, masculine, singular, absolute
adjv.hof.ptcp.u.m.sg.c	adjective, hof‘al, participle (passive), unknown, masculine, singular, construct
adjv.m.pl.a	adjective, masculine, plural, absolute
adjv.m.pl.c	adjective, masculine, plural, construct
adjv.m.sg.a	adjective, masculine, singular, absolute
adjv.m.sg.c	adjective, masculine, singular, construct
adjv.m.sg.e	adjective, masculine, singular, emphatic
adjv.nif.ptca.u.f.pl.a	adjective, nif‘al, participle, unknown, feminine, plural, absolute
adjv.nif.ptca.u.f.sg.a	adjective, nif‘al, participle, unknown, feminine, singular, absolute
adjv.nif.ptca.u.m.pl.a	adjective, nif‘al, participle, unknown, masculine, plural, absolute
adjv.nif.ptca.u.m.pl.c	adjective, nif‘al, participle, unknown, masculine, plural, construct
adjv.nif.ptca.u.m.sg.a	adjective, nif‘al, participle, unknown, masculine, singular, absolute
adjv.nif.ptca.u.m.sg.c	adjective, nif‘al, participle, unknown, masculine, singular, construct
adjv.pael.ptcp.u.m.sg.a	adjective, pa“el, participle (passive), unknown, masculine, singular, absolute
adjv.pasq.ptcp.u.f.sg.a	adjective, passiveqal, participle (passive), unknown, feminine, singular, absolute
adjv.pasq.ptcp.u.m.sg.a	adjective, passiveqal, participle (passive), unknown, masculine, singular, absolute
adjv.peal.ptca.u.f.sg.e	adjective, pe‘al, participle, unknown, feminine, singular, emphatic
adjv.peal.ptca.u.m.pl.a	adjective, pe‘al, participle, unknown, masculine, plural, absolute
adjv.peal.ptca.u.m.sg.a	adjective, pe‘al, participle, unknown, masculine, singular, absolute
adjv.peal.ptcp.u.f.sg.a	adjective, pe‘al, participle (passive), unknown, feminine, singular, absolute
adjv.peal.ptcp.u.m.sg.a	adjective, pe‘al, participle (passive), unknown, masculine, singular, absolute
adjv.piel.ptca.u.f.pl.a	adjective, pi“el, participle, unknown, feminine, plural, absolute
adjv.piel.ptca.u.f.pl.c	adjective, pi“el, participle, unknown, feminine, plural, construct
adjv.piel.ptca.u.f.sg.a	adjective, pi“el, participle, unknown, feminine, singular, absolute
adjv.piel.ptca.u.m.pl.a	adjective, pi“el, participle, unknown, masculine, plural, absolute
adjv.piel.ptca.u.m.sg.a	adjective, pi“el, participle, unknown, masculine, singular, absolute
