<m>4c.adjv.f.pl.a</m>	adjective, feminine, plural, absolute
<m>4c.adjv.f.pl.c</m>	adjective, feminine, plural, construct
<m>4c.adjv.f.pl.e</m>	adjective, feminine, plural, emphatic
<m>4c.adjv.f.sg.a</m>	adjective, feminine, singular, absolute
<m>4c.adjv.f.sg.c</m>	adjective, feminine, singular, construct
<m>4c.adjv.f.sg.e</m>	adjective, feminine, singular, emphatic
<m>4c.adjv.haf.ptca.u.m.sg.a</m>	adjective, haf‘el, participle, unknown, masculine, singular, absolute
<m>4c.adjv.hif.ptca.u.f.pl.a</m>	adjective, hif‘il, participle, unknown, feminine, plural, absolute
<m>4c.adjv.hif.ptca.u.f.sg.a</m>	adjective, hif‘il, participle, unknown, feminine, singular, absolute
<m>4c.adjv.hif.ptca.u.f.sg.c</m>	adjective, hif‘il, participle, unknown, feminine, singular, construct
<m>4c.adjv.hif.ptca.u.m.pl.a</m>	adjective, hif‘il, participle, unknown, masculine, plural, absolute
<m>4c.adjv.hif.ptca.u.m.pl.c</m>	adjective, hif‘il, participle, unknown, masculine, plural, construct
<m>4c.adjv.hif.ptca.u.m.sg.a</m>	adjective, hif‘il, participle, unknown, masculine, singular, absolute
<m>4c.adjv.hif.ptca.u.m.sg.c</m>	adjective, hif‘il, participle, unknown, masculine, singular, construct
<m>4c.adjv.hit.ptca.u.m.pl.a</m>	adjective, hitpa“el, participle, unknown, masculine, plural, absolute
<m>4c.adjv.hit.ptca.u.m.sg.a</m>	adjective, hitpa“el, participle, unknown, masculine, singular, absolute
<m>4c.adjv.hof.ptcp.u.f.pl.a</m>	adjective, hof‘al, participle (passive), unknown, feminine, plural, absolute
<m>4c.adjv.hof.ptcp.u.f.pl.c</m>	adjective, hof‘al, participle (passive), unknown, feminine, plural, construct
<m>4c.adjv.hof.ptcp.u.f.sg.a</m>	adjective, hof‘al, participle (passive), unknown, feminine, singular, absolute
<m>4c.adjv.hof.ptcp.u.m.sg.a</m>	adjective, hof‘al, participle (passive), unknown, masculine, singular, absolute
<m>4c.adjv.hof.ptcp.u.m.sg.c</m>	adjective, hof‘al, participle (passive), unknown, masculine, singular, construct
<m>4c.adjv.m.pl.a</m>	adjective, masculine, plural, absolute
<m>4c.adjv.m.pl.c</m>	adjective, masculine, plural, construct
<m>4c.adjv.m.sg.a</m>	adjective, masculine, singular, absolute
<m>4c.adjv.m.sg.c</m>	adjective, masculine, singular, construct
<m>4c.adjv.m.sg.e</m>	adjective, masculine, singular, emphatic
<m>4c.adjv.nif.ptca.u.f.pl.a</m>	adjective, nif‘al, participle, unknown, feminine, plural, absolute
<m>4c.adjv.nif.ptca.u.f.sg.a</m>	adjective, nif‘al, participle, unknown, feminine, singular, absolute
<m>4c.adjv.nif.ptca.u.m.pl.a</m>	adjective, nif‘al, participle, unknown, masculine, plural, absolute
<m>4c.adjv.nif.ptca.u.m.pl.c</m>	adjective, nif‘al, participle, unknown, masculine, plural, construct
<m>4c.adjv.nif.ptca.u.m.sg.a</m>	adjective, nif‘al, participle, unknown, masculine, singular, absolute
<m>4c.adjv.nif.ptca.u.m.sg.c</m>	adjective, nif‘al, participle, unknown, masculine, singular, construct
<m>4c.adjv.pael.ptcp.u.m.sg.a</m>	adjective, pa“el, participle (passive), unknown, masculine, singular, absolute
<m>4c.adjv.pasq.ptcp.u.f.sg.a</m>	adjective, passiveqal, participle (passive), unknown, feminine, singular, absolute
<m>4c.adjv.pasq.ptcp.u.m.sg.a</m>	adjective, passiveqal, participle (passive), unknown, masculine, singular, absolute
<m>4c.adjv.peal.ptca.u.f.sg.e</m>	adjective, pe‘al, participle, unknown, feminine, singular, emphatic
<m>4c.adjv.peal.ptca.u.m.pl.a</m>	adjective, pe‘al, participle, unknown, masculine, plural, absolute
<m>4c.adjv.peal.ptca.u.m.sg.a</m>	adjective, pe‘al, participle, unknown, masculine, singular, absolute
<m>4c.adjv.peal.ptcp.u.f.sg.a</m>	adjective, pe‘al, participle (passive), unknown, feminine, singular, absolute
<m>4c.adjv.peal.ptcp.u.m.sg.a</m>	adjective, pe‘al, participle (passive), unknown, masculine, singular, absolute
<m>4c.adjv.piel.ptca.u.f.pl.a</m>	adjective, pi“el, participle, unknown, feminine, plural, absolute
<m>4c.adjv.piel.ptca.u.f.pl.c</m>	adjective, pi“el, participle, unknown, feminine, plural, construct
<m>4c.adjv.piel.ptca.u.f.sg.a</m>	adjective, pi“el, participle, unknown, feminine, singular, absolute
<m>4c.adjv.piel.ptca.u.m.pl.a</m>	adjective, pi“el, participle, unknown, masculine, plural, absolute
<m>4c.adjv.piel.ptca.u.m.sg.a</m>	adjective, pi“el, participle, unknown, masculine, singular, absolute
<m>4c.adjv.pual.ptcp.u.f.pl.a</m>	adjective, pu“al, participle (passive), unknown, feminine, plural, absolute
<m>4c.adjv.pual.ptcp.u.f.sg.a</m>	adjective, pu“al, participle (passive), unknown, feminine, singular, absolute
<m>4c.adjv.pual.ptcp.u.f.sg.c</m>	adjective, pu“al, participle (passive), unknown, feminine, singular, construct
<m>4c.adjv.pual.ptcp.u.m.pl.a</m>	adjective, pu“al, participle (passive), unknown, masculine, plural, absolute
<m>4c.adjv.pual.ptcp.u.m.pl.c</m>	adjective, pu“al, participle (passive), unknown, masculine, plural, construct
<m>4c.adjv.pual.ptcp.u.m.sg.a</m>	adjective, pu“al, participle (passive), unknown, masculine, singular, absolute
<m>4c.adjv.qal.ptca.u.f.pl.a</m>	adjective, qal, participle, unknown, feminine, plural, absolute
<m>4c.adjv.qal.ptca.u.f.sg.a</m>	adjective, qal, participle, unknown, feminine, singular, absolute
<m>4c.adjv.qal.ptca.u.f.sg.c</m>	adjective, qal, participle, unknown, feminine, singular, construct
<m>4c.adjv.qal.ptca.u.m.pl.a</m>	adjective, qal, participle, unknown, masculine, plural, absolute
<m>4c.adjv.qal.ptca.u.m.pl.c</m>	adjective, qal, participle, unknown, masculine, plural, construct
<m>4c.adjv.qal.ptca.u.m.sg.a</m>	adjective, qal, participle, unknown, masculine, singular, absolute
<m>4c.adjv.qal.ptca.u.m.sg.c</m>	adjective, qal, participle, unknown, masculine, singular, construct
<m>4c.adjv.qal.ptcp.u.f.pl.a</m>	adjective, qal, participle (passive), unknown, feminine, plural, absolute
<m>4c.adjv.qal.ptcp.u.f.pl.c</m>	adjective, qal, participle (passive), unknown, feminine, plural, construct
<m>4c.adjv.qal.ptcp.u.f.sg.a</m>	adjective, qal, participle (passive), unknown, feminine, singular, absolute
<m>4c.adjv.qal.ptcp.u.f.sg.c</m>	adjective, qal, participle (passive), unknown, feminine, singular, construct
<m>4c.adjv.qal.ptcp.u.m.pl.a</m>	adjective, qal, participle (passive), unknown, masculine, plural, absolute
<m>4c.adjv.qal.ptcp.u.m.pl.c</m>	adjective, qal, participle (passive), unknown, masculine, plural, construct
<m>4c.adjv.qal.ptcp.u.m.sg.a</m>	adjective, qal, participle (passive), unknown, masculine, singular, absolute
<m>4c.adjv.qal.ptcp.u.m.sg.c</m>	adjective, qal, participle (passive), unknown, masculine, singular, construct
<m>4c.advb.f.du.a</m>	adverb, feminine, dual, absolute
<m>4c.advb.f.pl.a.prs.p2.f.sg</m>	adverb, feminine, plural, absolute, pronominal suffix, second person, feminine, singular
<m>4c.advb.f.pl.a.prs.p2.m.pl</m>	adverb, feminine, plural, absolute, pronominal suffix, second person, masculine, plural
<m>4c.advb.f.pl.a.prs.p3.f.sg</m>	adverb, feminine, plural, absolute, pronominal suffix, third person, feminine, singular
<m>4c.advb.f.pl.a.prs.p3.m.sg</m>	adverb, feminine, plural, absolute, pronominal suffix, third person, masculine, singular
<m>4c.advb.f.pl.a</m>	adverb, feminine, plural, absolute
<m>4c.advb.f.sg.a</m>	adverb, feminine, singular, absolute
<m>4c.advb.f.sg.c</m>	adverb, feminine, singular, construct
<m>4c.advb.hif.infa.u.u.u.a</m>	adverb, hif‘il, infinitive (absolute), unknown, unknown, unknown, absolute
<m>4c.advb.hif.infc.u.u.u.a</m>	adverb, hif‘il, infinitive (construct), unknown, unknown, unknown, absolute
<m>4c.advb.hit.infa.u.u.u.a</m>	adverb, hitpa“el, infinitive (absolute), unknown, unknown, unknown, absolute
<m>4c.advb.hof.infa.u.u.u.a</m>	adverb, hof‘al, infinitive (absolute), unknown, unknown, unknown, absolute
